name,weekly_downloads
color,49623174
sonner,49587516
pg-int8,49317863
jest-docblock,49245385
dot-prop,49166190
arrify,49052608
yauzl,48510434
inquirer,48354817
lodash.debounce,48298807
cssom,48270721
pg-connection-string,48118907
fb-watchman,48108171
exsolve,47937649
jest-each,47823199
nwsapi,47818925
micromark-core-commonmark,47684246
ts-node,47680900
micromark-factory-whitespace,47553965
resolve-cwd,47545238
micromark-factory-title,47519520
jest-leak-detector,47508979
terser-webpack-plugin,47253797
sucrase,47234029
node-gyp-build,47172412
http-cache-semantics,47157342
through2,47109981
detect-newline,46822238
fs-minipass,46677608
styled-jsx,46633920
p-retry,46602660
remark-parse,46600358
through,46579722
stylis,46478787
glob-to-regexp,46382139
emittery,46355692
jest,46332002
dir-glob,46313780
is-arguments,46200333
deep-extend,46136308
micromark-util-decode-string,45979199
character-reference-invalid,45952608
mdast-util-to-markdown,45845264
decode-named-character-reference,45774856
uglify-js,45764709
jest-cli,45764448
jest-changed-files,45721803
ansis,45558657
jest-circus,45556540
module-details-from-path,45351666
p-timeout,45238687
devlop,45106529
chrome-trace-event,45029912
graphql,44967983
babel-plugin-polyfill-regenerator,44911941
cac,44814747
array.prototype.tosorted,44786561
react-day-picker,44769444
eslint-plugin-jsx-a11y,44761235
log-update,44747563
ts-interface-checker,44741812
mdast-util-to-hast,44636659
fast-xml-builder,44620405
asap,44611456
loader-runner,44541764
co,44523896
babel-plugin-polyfill-corejs2,44358274
bare-events,44320824
babel-preset-current-node-syntax,44187897
listr2,44141260
path-expression-matcher,44026371
check-error,43856496
language-subtag-registry,43845868
pg,43701187
postcss-import,43646701
quick-lru,43482631
reselect,43405712
lodash-es,43231016
eslint-plugin-prettier,43164977
zod-validation-error,43162375
react-router-dom,43020216
which-module,42923075
mdast-util-phrasing,42901982
framer-motion,42856174
validate-npm-package-name,42806009
gtoken,42775290
hast-util-whitespace,42763064
style-to-object,42724476
pino,42707553
immutable,42688919
string.prototype.repeat,42662039
ohash,42559583
eslint-import-resolver-typescript,42553561
oxc-parser,42482062
concat-stream,42466574
psl,42457974
tinypool,42450294
text-table,42255831
xml2js,42231275
stringify-entities,42201067
inline-style-parser,42120876
he,42040470
character-entities-html4,41942848
es-toolkit,41672538
pg-pool,41641784
handlebars,41460379
pend,41421766
client-only,41399721
magicast,41163385
meow,41108856
redux,41033590
sonic-boom,41018797
tunnel-agent,40829049
rrweb-cssom,40739008
commondir,40645952
eslint-plugin-react-refresh,40291135
dlv,40279358
postcss-nested,40241553
jszip,40158681
pg-cloudflare,40032925
cacache,39938880
dotenv-expand,39891245
micromark-util-decode-numeric-character-reference,39850504
run-async,39714368
remark-rehype,39690516
node-exports-info,39511309
compression,39405230
reflect-metadata,39376603
thread-stream,39350212
validate-npm-package-license,39271993
vite-node,39103157
url-parse,39031995
markdown-table,38962464
querystringify,38823481
pino-std-serializers,38814145
got,38795433
resolve.exports,38776216
html-entities,38711637
ccount,38680296
vaul,38658911
memfs,38484639
fs-constants,38406996
hoist-non-react-statics,38275525
camelcase-css,38075705
postcss-js,38070065
zip-stream,38031277
compress-commons,38012839
micromark-extension-gfm-table,38001167
crc32-stream,38000476
ejs,37834892
archiver,37823443
is-bun-module,37695798
lodash.memoize,37472555
json-schema-typed,37350297
unist-util-position,37213606
didyoumean,37161645
svgo,37149559
luxon,36802716
duplexify,36660685
react-resizable-panels,36520741
pretty-ms,36401787
react-smooth,36337833
parse-ms,36324207
mdast-util-gfm-table,36282512
json-schema,36164168
defu,35979307
rou3,35957509
recast,35921182
ret,35838041
moment,35779413
style-to-js,35606087
cross-fetch,35586429
p-cancelable,35522846
bare-fs,35448994
read-cache,35333489
is-typedarray,35277472
globrex,35207260
path-browserify,35137132
image-size,35105095
map-obj,35070863
string-argv,34980295
prettier-linter-helpers,34728253
sirv,34602621
memoize-one,34586796
bare-path,34560617
remark-stringify,34444641
universal-user-agent,34364810
bare-stream,34206196
v8-compile-cache-lib,34173585
fsevents,34166282
jest-pnp-resolver,34147157
react-redux,34051617
object-is,33956129
input-otp,33914255
cacheable-request,33812377
denque,33716419
fd-slicer,33500949
enquirer,33499809
lodash.uniq,33419069
make-fetch-happen,33374412
hast-util-to-jsx-runtime,33305526
quick-format-unescaped,33258574
atomic-sleep,33134024
secure-json-parse,33021609
lazystream,32969944
interpret,32939860
linkify-it,32727312
cli-table3,32666748
component-emitter,32636093
cookie-es,32602290
yoctocolors,32591347
p-queue,32367485
stream-shift,32238981
lowercase-keys,32237300
invariant,32236900
readdir-glob,32133364
minipass-fetch,32098171
promise,32011095
openai,31996762
nan,31942248
stable-hash,31909326
responselike,31803562
pretty-bytes,31713681
vite-tsconfig-paths,31535949
npm-package-arg,31481319
classnames,31332402
cluster-key-slot,31205410
sass,31142774
global-prefix,31125040
flat,31081992
uc.micro,31033770
retry-request,30976079
eslint-config-next,30856008
cli-boxes,30852300
teeny-request,30743505
csso,30687619
babel-plugin-macros,30488994
react-markdown,30391695
faye-websocket,30385917
jsbn,30340615
websocket-driver,30213269
busboy,30168399
widest-line,30144725
